u,v,p
-0.0606338,-0.00639578,0.00225896
-0.0593448,-0.00977128,0.00550456
-0.0575057,-0.0130501,0.00865009
-0.0551308,-0.016181,0.0116514
-0.052243,-0.0191057,0.0144647
-0.0488743,-0.0217587,0.0170468
-0.0450682,-0.024067,0.0193567
-0.040881,-0.0259512,0.0213557
-0.0363826,-0.0273273,0.02301
-0.0316588,-0.0281094,0.0242873
-0.0268097,-0.0282138,0.0251691
-0.0219534,-0.0275635,0.0256245
-0.0172181,-0.0260956,0.0256738
-0.0127557,-0.0237656,0.0252415
-0.00870575,-0.0205596,0.0244991
-0.00527219,-0.0164921,0.0230656
-0.00253604,-0.0116329,0.0218631
-0.000882623,-0.00606733,0.018799
0,0,0.018799
0,0,-0.0270097
-0.000968347,0.007363,-0.0270097
-0.00276862,0.0139406,-0.0303141
-0.00572481,0.0195589,-0.031562
-0.00940519,0.0241677,-0.033055
-0.0137168,0.0277339,-0.0338063
-0.0184383,0.0302784,-0.0342498
-0.0234249,0.0318477,-0.0342128
-0.0285219,0.0325139,-0.0337883
-0.0336034,0.0323626,-0.0329584
-0.0385559,0.0314869,-0.0317567
-0.0432845,0.0299808,-0.0301976
-0.0477091,0.027935,-0.0283068
-0.0517637,0.025434,-0.0261082
-0.0553944,0.022554,-0.0236293
-0.0585576,0.0193626,-0.020899
-0.0612186,0.0159192,-0.0179485
-0.0633496,0.0122758,-0.0148111
-0.064929,0.00847848,-0.0115221
-0.0659398,0.00456932,-0.00811893
-0.0663693,0.00058827,-0.00464116
-0.0662092,-0.00342483,-0.00113015
-0.0654548,-0.00742816,0.00237088
-0.0641065,-0.011376,0.00581718
-0.0621702,-0.0152167,0.00916274
-0.0596584,-0.0188917,0.0123608
-0.0565922,-0.0223335,0.0153643
-0.0530029,-0.0254658,0.0181268
-0.0489336,-0.0282032,0.0206034
-0.0444418,-0.0304523,0.0227508
-0.0396005,-0.0321134,0.0245312
-0.0345005,-0.0330843,0.0259073
-0.0292494,-0.0332645,0.026857
-0.0239755,-0.0325606,0.0273437
-0.0188198,-0.0308942,0.0273882
-0.0139507,-0.0282074,0.0269045
-0.00952372,-0.024475,0.026081
-0.00576652,-0.0197033,0.0244973
-0.00277127,-0.0139577,0.0231698
-0.000962986,-0.00731992,0.0198027
0,0,0.0198027
0,0,-0.0286615
-0.00105224,0.00872715,-0.0286615
-0.00301083,0.0164526,-0.0322664
-0.00622757,0.0230021,-0.0336297
-0.0102291,0.0283359,-0.0352616
-0.014911,0.0324321,-0.0360834
-0.0200291,0.0353273,-0.0365712
-0.0254235,0.037085,-0.036537
-0.0309251,0.0377958,-0.0360848
-0.0363975,0.0375638,-0.0351964
-0.041719,0.0365003,-0.03391
-0.0467893,0.0347164,-0.0322423
-0.0515247,0.0323185,-0.0302221
-0.0558574,0.0294045,-0.0278753
-0.0597328,0.0260627,-0.0252317
-0.0631075,0.0223703,-0.0223219
-0.0659473,0.0183948,-0.0191786
-0.0682252,0.0141947,-0.0158366
-0.0699198,0.00982148,-0.0123325
-0.0710143,0.00532152,-0.0087052
-0.0714958,0.000738712,-0.00499545
-0.0713547,-0.00388323,-0.00124632
-0.0705849,-0.0084983,0.00249717
-0.0691846,-0.0130558,0.00618806
-0.0671571,-0.0174981,0.00977778
-0.0645123,-0.0217589,0.0132165
-0.0612689,-0.0257612,0.0164535
-0.0574559,-0.0294173,0.0194383
-0.0531159,-0.032628,0.0221214
-0.0483065,-0.0352842,0.0244545
-0.0431035,-0.0372687,0.0263944
-0.0376026,-0.0384604,0.0278984
-0.0319194,-0.0387392,0.0289399
-0.0261937,-0.0379922,0.0294761
-0.0205804,-0.0361228,0.0295274
-0.0152664,-0.0330566,0.0289972
-0.0104259,-0.0287558,0.028092
-0.00631262,-0.0232167,0.0263484
-0.00303173,-0.0165012,0.0248866
-0.00105219,-0.00868838,0.0211875
0,0,0.0211875
0,0,-0.030778
-0.0011455,0.010211,-0.030778
-0.00327906,0.0191862,-0.0347121
-0.00678237,0.0267471,-0.0361981
-0.0111357,0.0328644,-0.037977
-0.0162215,0.0375284,-0.0388689
-0.0217701,0.0407934,-0.0393965
-0.0276052,0.0427427,-0.0393553
-0.0335417,0.0434885,-0.038861
-0.039432,0.0431565,-0.0378957
-0.0451458,0.0418789,-0.0365025
-0.0505771,0.0397866,-0.034701
-0.055639,0.0370032,-0.0325232
-0.0602624,0.0336421,-0.0299975
-0.0643928,0.0298042,-0.0271562
-0.0679876,0.0255772,-0.0240317
-0.0710138,0.021037,-0.0206588
-0.0734457,0.0162484,-0.0170735
-0.075263,0.0112677,-0.0133142
-0.0764492,0.00614549,-0.00942089
-0.0769911,0.000928739,-0.0054361
-0.076878,-0.00433565,-0.0014045
-0.076102,-0.00959815,0.0026269
-0.0746585,-0.0148037,0.00660876
-0.0725475,-0.0198889,0.0104897
-0.0697753,-0.0247798,0.0142163
-0.0663568,-0.0293898,0.017734
-0.0623181,-0.0336187,0.0209874
-0.0576994,-0.0373526,0.0239217
-0.0525582,-0.0404645,0.0264827
-0.0469719,-0.0428174,0.0286212
-0.041041,-0.0442682,0.0302876
-0.0348897,-0.0446739,0.0314499
-0.0286699,-0.0438987,0.0320578
-0.0225523,-0.041824,0.0321314
-0.016745,-0.0383563,0.0315612
-0.011443,-0.0334421,0.0305743
-0.00693044,-0.0270668,0.0286585
-0.00332758,-0.0192893,0.0270508
-0.00115397,-0.0101871,0.0229794
0,0,0.0229794
0,0,-0.0333965
-0.00125103,0.0118287,-0.0333965
-0.00358113,0.0221663,-0.0376968
-0.00740435,0.0308259,-0.0393149
-0.012148,0.0377895,-0.0412506
-0.0176792,0.0430606,-0.0422118
-0.0236996,0.0467138,-0.0427734
-0.0300145,0.0488557,-0.0427129
-0.0364212,0.0496233,-0.0421599
-0.0427599,0.0491677,-0.0410963
-0.0488912,0.0476455,-0.0395716
-0.0547039,0.0452097,-0.0376082
-0.0601084,0.0420039,-0.035242
-0.0650349,0.0381584,-0.0325044
-0.0694297,0.0337879,-0.0294302
-0.0732523,0.0289914,-0.0260543
-0.0764717,0.0238531,-0.022413
-0.0790642,0.018444,-0.0185444
-0.0810112,0.0128251,-0.014488
-0.0822972,0.00704979,-0.0102856
-0.0829088,0.00116767,-0.00598108
-0.0828341,-0.0047722,-0.00162082
-0.0820631,-0.0107177,0.00274611
-0.0805877,-0.0166102,0.00706793
-0.0784038,-0.0223812,0.0112902
-0.0755128,-0.0279494,0.0153557
-0.0719247,-0.0332182,0.0192056
-0.0676609,-0.0380745,0.0227789
-0.062758,-0.0423879,0.0260148
-0.0572715,-0.0460116,0.0288521
-0.0512799,-0.0487859,0.0312344
-0.0448879,-0.0505424,0.0331039
-0.0382279,-0.0511109,0.0344222
-0.0314653,-0.0503285,0.0351297
-0.0247884,-0.0480505,0.0352455
-0.018429,-0.0441598,0.0346447
-0.0126064,-0.0385852,0.0335773
-0.00764042,-0.0312984,0.0314745
-0.0036693,-0.022356,0.0297067
-0.00127214,-0.0118351,0.0252111
0,0,0.0252111
0,0,-0.0365627
-0.00137171,0.0135982,-0.0365627
-0.00392483,0.0254236,-0.0412747
-0.0081085,0.0352781,-0.0430357
-0.0132885,0.0431551,-0.0451397
-0.0193142,0.0490736,-0.0461686
-0.025854,0.0531318,-0.0467568
-0.0326925,0.0554633,-0.0466622
-0.0396077,0.0562346,-0.0460305
-0.0464268,0.0556264,-0.0448441
-0.0530012,0.0538232,-0.0431596
-0.0592148,0.0510038,-0.0410031
-0.0649757,0.0473343,-0.0384149
-0.070215,0.0429635,-0.0354298
-0.074881,0.0380216,-0.0320854
-0.078936,0.0326192,-0.0284189
-0.0823526,0.026849,-0.024469
-0.0851102,0.020788,-0.0202752
-0.0871926,0.0145008,-0.0158787
-0.0885858,0.00804318,-0.0113224
-0.0892766,0.00146583,-0.00665179
-0.0892522,-0.00518119,-0.0019148
-0.0884998,-0.0118444,0.00283756
-0.0870073,-0.0184628,0.00755108
-0.0847654,-0.0249635,0.0121682
-0.0817694,-0.0312586,0.0166279
-0.0780225,-0.0372415,0.0208662
-0.0735395,-0.0427854,0.0248165
-0.0683515,-0.0477419,0.0284108
-0.0625105,-0.0519424,0.03158
-0.0560938,-0.0552011,0.034259
-0.0492097,-0.0573199,0.0363805
-0.0419986,-0.0580971,0.0378975
-0.0346399,-0.057337,0.0387394
-0.0273413,-0.0548635,0.0389229
-0.0203616,-0.0505314,0.0383047
-0.0139487,-0.0442471,0.03716
-0.00846389,-0.0359668,0.0348536
-0.00406789,-0.0257442,0.0329095
-0.00141075,-0.0136568,0.0279259
0,0,0.0279259
0,0,-0.0403328
-0.00151052,0.0155409,-0.0403328
-0.00431809,0.0289954,-0.0455104
-0.00890975,0.0401502,-0.0474262
-0.0145795,0.0490126,-0.0497111
-0.0211549,0.0556189,-0.0508043
-0.0282666,0.0600956,-0.0514092
-0.0356758,0.0626083,-0.0512624
-0.0431391,0.0633585,-0.0505282
-0.0504698,0.0625611,-0.0491905
-0.0575102,0.0604337,-0.0473142
-0.0641401,0.0571843,-0.0449297
-0.0702668,0.0530043,-0.0420825
-0.0758232,0.0480637,-0.0388111
-0.0807615,0.042509,-0.0351566
-0.0850486,0.0364632,-0.0311586
-0.0886618,0.0300274,-0.0268578
-0.091585,0.0232841,-0.0222955
-0.0938056,0.0163008,-0.0175141
-0.0953118,0.00913398,-0.0125578
-0.0960913,0.00183429,-0.00747325
-0.0961302,-0.00554892,-0.00230972
-0.0954126,-0.0129625,0.00288012
-0.0939222,-0.0203443,0.00803983
-0.0916429,-0.0276189,0.0131088
-0.0885624,-0.0346921,0.0180221
-0.0846751,-0.0414479,0.0227107
-0.0799872,-0.0477453,0.0271013
