u,v,p
0.0298894,0.173608,-0.959917
0.0837444,0.167814,-0.819313
0.140267,0.145803,-0.656673
0.198886,0.121946,-0.545892
0.252674,0.0995308,-0.452781
0.301134,0.0801494,-0.383224
0.343416,0.0638838,-0.327824
0.37989,0.0504756,-0.284182
0.410985,0.0395214,-0.248633
0.43731,0.0306227,-0.219119
0.459445,0.0234223,-0.193889
0.477941,0.0176144,-0.171747
0.493285,0.0129419,-0.151784
0.505893,0.00918819,-0.13334
0.516114,0.00617008,-0.11591
0.52423,0.00373052,-0.0991081
0.530462,0.00173261,-0.0826207
0.534969,5.42091e-05,-0.0661799
0.537857,-0.00141688,-0.0495395
0.539172,-0.00278752,-0.0324546
0.538904,-0.00416401,-0.0146636
0.536985,-0.0056571,0.00413056
0.533281,-0.00738785,0.02428
0.527585,-0.0094945,0.0462161
0.519611,-0.0121411,0.070476
0.508976,-0.0155284,0.0977456
0.495188,-0.0199084,0.128894
0.477634,-0.0256024,0.165072
0.455556,-0.0330232,0.20771
0.428076,-0.042699,0.258866
0.394154,-0.0552858,0.320729
0.352841,-0.0715587,0.397433
0.303041,-0.0922416,0.490823
0.245109,-0.117801,0.611597
0.178751,-0.14686,0.750084
0.111931,-0.175879,0.946008
0.0452965,-0.187565,1.10993
0.0140544,-0.161465,1.41314
0,0,1.41314
0,0,-1.20411
0.0805729,0.157088,-1.20411
0.144351,0.145704,-0.791141
0.235534,0.121518,-0.665859
0.310661,0.0942469,-0.509443
0.378509,0.0719992,-0.418856
0.434869,0.054432,-0.342846
0.482231,0.0409007,-0.288488
0.521385,0.0305184,-0.245599
0.55377,0.0225396,-0.212289
0.580454,0.0163951,-0.185348
0.60242,0.0116542,-0.16313
0.620462,0.00799883,-0.144222
0.63524,0.00518965,-0.127686
0.647291,0.00304493,-0.112809
0.657047,0.00142331,-0.0990771
0.664853,0.000212533,-0.0861026
0.670976,-0.00067883,-0.0735879
0.675623,-0.00132719,-0.0612938
0.678939,-0.00179828,-0.0490166
0.68102,-0.00215066,-0.0365694
0.681912,-0.00243866,-0.0237669
0.681611,-0.00271525,-0.0104102
0.680062,-0.00303501,0.00372719
0.677157,-0.00345753,0.0189153
0.672726,-0.00405165,0.0354872
0.666523,-0.00490106,0.0538608
0.658218,-0.00611206,0.0745747
0.647369,-0.0078251,0.0983181
0.633403,-0.010231,0.126021
0.61557,-0.0135969,0.158849
0.592925,-0.0182995,0.198552
0.564217,-0.0248807,0.246997
0.528024,-0.0341002,0.308111
0.482256,-0.047006,0.383543
0.425588,-0.0649428,0.485769
0.354137,-0.0890316,0.604042
0.272491,-0.120215,0.798376
0.169101,-0.149267,0.950336
0.094296,-0.164935,1.41027
0,0,1.41027
0,0,-2.77287
0.282512,-0.0434373,-2.77287
0.37888,-0.0314384,-1.59717
0.49375,-0.0249454,-1.2105
0.569823,-0.0196797,-0.860502
0.630707,-0.0177046,-0.663525
0.676131,-0.0166345,-0.521891
0.711391,-0.0161996,-0.427496
0.738695,-0.015906,-0.359394
0.760136,-0.0156408,-0.309563
0.777065,-0.0153071,-0.271235
0.790519,-0.0148744,-0.240583
0.801249,-0.0143235,-0.214908
0.80982,-0.0136494,-0.192477
0.816656,-0.0128528,-0.172099
0.82208,-0.0119383,-0.152965
0.826337,-0.010913,-0.134511
0.829611,-0.00978492,-0.116332
0.832037,-0.00856237,-0.0981238
0.83371,-0.00725286,-0.0796408
0.834688,-0.00586261,-0.0606647
0.834999,-0.00439601,-0.0409786
0.834637,-0.00285528,-0.0203448
0.833568,-0.0012401,0.00151686
0.831719,0.000452602,0.0249528
0.82898,0.0022289,0.050405
0.825189,0.00409787,0.0784475
0.820125,0.00607159,0.109843
0.813484,0.0081642,0.145609
0.804856,0.0103918,0.187162
0.793676,0.0127671,0.236424
0.779178,0.0153046,0.29632
0.760256,0.0179964,0.370687
0.735468,0.020872,0.466681
0.702405,0.0238667,0.59151
0.658708,0.027312,0.768134
0.597857,0.0310116,0.999161
0.520867,0.0374993,1.3941
0.399441,0.0440792,1.80558
0.298913,0.0559544,3.0351
0,0,3.0351
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
